,Year,Month,Inflation Rate
0,2024,1,3.1
1,2024,2,3.2
2,2024,3,3.5
3,2024,4,3.4
4,2024,5,3.3
5,2024,6,3.0
6,2024,7,2.9
7,2024,8,2.5
8,2024,9,2.4
9,2023,1,6.4
10,2023,2,6.0
11,2023,3,5.0
12,2023,4,4.9
13,2023,5,4.0
14,2023,6,3.0
15,2023,7,3.2
16,2023,8,3.7
17,2023,9,3.7
18,2023,10,3.2
19,2023,11,3.1
20,2023,12,3.4
21,2022,1,7.5
22,2022,2,7.9
23,2022,3,8.5
24,2022,4,8.3
25,2022,5,8.6
26,2022,6,9.1
27,2022,7,8.5
28,2022,8,8.3
29,2022,9,8.2
30,2022,10,7.7
31,2022,11,7.1
32,2022,12,6.5
33,2021,1,1.4
34,2021,2,1.7
35,2021,3,2.6
36,2021,4,4.2
37,2021,5,5.0
38,2021,6,5.4
39,2021,7,5.4
40,2021,8,5.3
41,2021,9,5.4
42,2021,10,6.2
43,2021,11,6.8
44,2021,12,7.0
45,2020,1,2.5
46,2020,2,2.3
47,2020,3,1.5
48,2020,4,0.3
49,2020,5,0.1
50,2020,6,0.6
51,2020,7,1.0
52,2020,8,1.3
53,2020,9,1.4
54,2020,10,1.2
55,2020,11,1.2
56,2020,12,1.4
57,2019,1,1.6
58,2019,2,1.5
59,2019,3,1.9
60,2019,4,2.0
61,2019,5,1.8
62,2019,6,1.6
63,2019,7,1.8
64,2019,8,1.7
65,2019,9,1.7
66,2019,10,1.8
67,2019,11,2.1
68,2019,12,2.3
69,2018,1,2.1
70,2018,2,2.2
71,2018,3,2.4
72,2018,4,2.5
73,2018,5,2.8
74,2018,6,2.9
75,2018,7,2.9
76,2018,8,2.7
77,2018,9,2.3
78,2018,10,2.5
79,2018,11,2.2
80,2018,12,1.9
81,2017,1,2.5
82,2017,2,2.7
83,2017,3,2.4
84,2017,4,2.2
85,2017,5,1.9
86,2017,6,1.6
87,2017,7,1.7
88,2017,8,1.9
89,2017,9,2.2
90,2017,10,2.0
91,2017,11,2.2
92,2017,12,2.1
93,2016,1,1.4
94,2016,2,1.0
95,2016,3,0.9
96,2016,4,1.1
97,2016,5,1.0
98,2016,6,1.0
99,2016,7,0.8
100,2016,8,1.1
101,2016,9,1.5
102,2016,10,1.6
103,2016,11,1.7
104,2016,12,2.1
105,2015,1,-0.1
106,2015,2,0.0
107,2015,3,-0.1
108,2015,4,-0.2
109,2015,5,0.0
110,2015,6,0.1
111,2015,7,0.2
112,2015,8,0.2
113,2015,9,0.0
114,2015,10,0.2
115,2015,11,0.5
116,2015,12,0.7
117,2014,1,1.6
118,2014,2,1.1
119,2014,3,1.5
120,2014,4,2.0
121,2014,5,2.1
122,2014,6,2.1
123,2014,7,2.0
124,2014,8,1.7
125,2014,9,1.7
126,2014,10,1.7
127,2014,11,1.3
128,2014,12,0.8
129,2013,1,1.6
130,2013,2,2.0
131,2013,3,1.5
132,2013,4,1.1
133,2013,5,1.4
134,2013,6,1.8
135,2013,7,2.0
136,2013,8,1.5
137,2013,9,1.2
138,2013,10,1.0
139,2013,11,1.2
140,2013,12,1.5
141,2012,1,2.9
142,2012,2,2.9
143,2012,3,2.7
144,2012,4,2.3
145,2012,5,1.7
146,2012,6,1.7
147,2012,7,1.4
148,2012,8,1.7
149,2012,9,2.0
150,2012,10,2.2
151,2012,11,1.8
152,2012,12,1.7
153,2011,1,1.6
154,2011,2,2.1
155,2011,3,2.7
156,2011,4,3.2
157,2011,5,3.6
158,2011,6,3.6
159,2011,7,3.6
160,2011,8,3.8
161,2011,9,3.9
162,2011,10,3.5
163,2011,11,3.4
164,2011,12,3.0
165,2010,1,2.6
166,2010,2,2.1
167,2010,3,2.3
168,2010,4,2.2
169,2010,5,2.0
170,2010,6,1.1
171,2010,7,1.2
172,2010,8,1.1
173,2010,9,1.1
174,2010,10,1.2
175,2010,11,1.1
176,2010,12,1.5
177,2009,1,0.0
178,2009,2,0.2
179,2009,3,-0.4
180,2009,4,-0.7
181,2009,5,-1.3
182,2009,6,-1.4
